Ground truths com EX = 0
----------------------------------------
GT053 | Qual a taxa de mortalidade no estado do Rio Grande do Sul em 2021? | EX = 0
GT083 | Quais são os principais CIDs de entrada de cada nacionalidade? | EX = 0
GT088 | Quais são os 5 procedimentos mais realizados para cada sexo? | EX = 0
GT089 | Quais são os 3 diagnósticos principais mais comuns entre pacientes com mais de 60 anos em cada estado (MA e RS)? | EX = 0
GT090 | Qual é a taxa de mortalidade por nível de instrução no estado do RS, considerando apenas grupos com mais de 1000 internações? | EX = 0
GT091 | Quais são os 3 procedimentos mais comuns entre internações que resultaram em óbito para cada faixa etária: menor de 18, 18 a 64, e 65 ou mais? | EX = 0
GT093 | Quais são os 3 hospitais com maior custo médio de UTI por estado (MA e RS)? | EX = 0
GT097 | Quais são os 5 procedimentos mais realizados em cada estado (MA e RS)? | EX = 0
GT099 | Quais são os 5 municípios com maior percentual de internações em UTI (com mais de 5000 internações)? | EX = 0
GT100 | Para cada nacionalidade, qual o diagnóstico mais comum entre mulheres? | EX = 0
GT102 | Quais são os 3 diagnósticos secundários mais comuns por vínculo previdenciário? | EX = 0
GT103 | Quais são os 10 diagnósticos com maior média de dias de internação (com mais de 10000 casos)? | EX = 0
GT104 | Quais são os 5 hospitais mais eficientes em custo por dia de internação (com mais de 1000 internações)? | EX = 0
GT107 | Em qual ano ocorreu o maior número de mortes em cada estado (MA e RS)? | EX = 0
GT109 | Quantas categorias de raça/cor estão cadastradas? | EX = 0
GT113 | Qual o menor valor de internação registrado? | EX = 0
GT114 | Qual o total gasto em internações de UTI? | EX = 0
GT118 | Qual o valor médio dos serviços profissionais por internação? | EX = 0
GT120 | Quantas internações tiveram cobrança de serviço hospitalar? | EX = 0
GT124 | Qual a distribuição de internações por raça/cor? | EX = 0
